index,title,company,Skills,city,state,posted_date,type,salary,type.1,sal_min,sal_max,sal_median,origin
0,Data Architect,Cohesive Technologies LLC,Data Architect,Mountain View,CA,4/14/2023,"Contract: Independent, Corp-To-Corp, W2, Long term",,,,,,dice.com
1,Data Architect,Ekcel Technologies Inc,Data Architect,Chicago,IL,4/12/2023,Full Time,Depends on Experience,,,,,dice.com
2,Data Architect,Randstad Technologies,Data Architect,Charlotte,NC,4/12/2023,Contract: W2,USD51 - USD61,hourly,51.0,61.0,56.0,dice.com
3,Data Architect,Randstad Technologies,Data Architect,Tallahassee,FL,4/15/2023,Contract: W2,USD75 - USD90,hourly,75.0,90.0,82.5,dice.com
4,Data Architect,Radus Tek Services,"Data Architect, Data Analysis, Data Governance",Tallahassee,FL,4/14/2023,"Contract: Independent, W2",Depends on Experience,,,,,dice.com
5,Data Architect,InfoTech Spectrum Inc,"Data Architect, Azure",Chicago,IL,4/11/2023,Full Time,$0 - $0,,,,,dice.com
6,Data Architect,Prudent Technologies and Consulting,"Data Architect, Data Migration, Clinical Data Experience, Data Mapping",,,4/11/2023,"Contract: Corp-To-Corp, W2, Independent, 2 Month(s)",$60 - $70,hourly,60.0,70.0,65.0,dice.com
8,Data Architect,Randstad Technologies,Data Architect,Charlotte,NC,3/31/2023,Contract: W2,USD60 - USD70,hourly,60.0,70.0,65.0,dice.com
13,Data Architect,"Zachary Piper Solutions, LLC","Architect, Data Architect, Data Modeling",Raleigh,NC,3/31/2023,Full Time,,,,,,dice.com
14,Data Architect,Prophecy Consulting,"Data Governance, Data Architect, Data Management, Planning, Oracle, Transformation, Policy Management",Irvine,CA,4/12/2023,"Contract: W2, Corp-To-Corp, Independent, 12 Month(s)",$70 - $80,hourly,70.0,80.0,75.0,dice.com
15,Data Architect,"Capgemini America, Inc.","Data Architect, NoSQL, Data Architecture, Data Governance, Data Modeling, Data Security, Modeling Data",New York,NY,4/10/2023,Full Time,"$100,000 - $140,000",yearly,100000.0,140000.0,120000.0,dice.com
16,Data Architect,Nityo Infotech Corporation,"Data Architect, Postgres, Python, SQL, Data Pipelines Near, Oracle",Pittsburgh,PA,4/11/2023,"Contract: Corp-To-Corp, 12 Month(s)",$70+,hourly,70.0,,70.0,dice.com
18,Data Architect,SOHO Square Solutions,"Servicenow, Power BI, Data Architect, CDSM",Alpharetta,GA,4/10/2023,"Contract: W2, Independent, Corp-To-Corp, 12 month(s)",,,,,,dice.com
20,Data Architect,Blue Rose Technologies LLC,"Data Architect, ETL, Data Warehousing, Data Lake, GCP, Google Cloud",,,4/13/2023,"Contract: Independent, Corp-To-Corp, W2, 12 Month(s)",Depends on Experience,,,,,dice.com
21,Data Architect,"Activesoft, Inc.","Healthcare, Hospital, Insurance, Claims, Data Architect",Cincinnati,OH,4/10/2023,"Contract: W2, 6 Month(s)",Depends on Experience,,,,,dice.com
24,Data Architect,InfoTech Spectrum Inc,"Data Architect, SQL, Oracle, .Net Platform, Data Mapping, Data Dictionary, Data Migration, Data Security, Data Network",,,4/7/2023,"Contract: W2, 24 Month(s)",Depends on Experience,,,,,dice.com
26,Data Architect,Blue Rose Technologies LLC,"Data Architect, AWS, Azure, NoSQL, Big Data, SQL, Erwin",New York,NY,4/12/2023,Full Time,Depends on Experience,,,,,dice.com
27,Data Architect,"Synergetic Information Systems, Inc","Data Architect, ETL",Washington,DC,3/21/2023,Full Time,Depends on Experience,,,,,dice.com
28,Data Architect,Peterson Technology Partners,"Data Architect, Data Architecture, Data Modeling, Data Transformation, Data Warehousing, Oil and Gas",,,3/31/2023,"Contract: Independent, Corp-To-Corp, W2, 12 Month(s)",Depends on Experience,,,,,dice.com
32,Data Architect,U.S. Tech Solutions Inc.,"Plsql, Big Data, Data Architect, Hadoop",Atlanta,GA,3/31/2023,"Contract: W2, 5 Month(s)",Depends on Experience,,,,,dice.com
35,Data Architect,Enquizit,Data Architect,,,4/14/2023,Full Time,Depends on Experience,,,,,dice.com
40,Data Architect,Randstad Technologies,Data Architect,New York,NY,3/8/2023,Full Time,USD85 - USD100,hourly,85000.0,100000.0,92500.0,dice.com
43,Data Architect,"Computer Enterprises, Inc.","Data Architect, Oracle, Informatica, Kafka, MQ, API, ETL",Pittsburgh,PA,4/3/2023,"Contract: W2, 5 Month(s)",$76 - $82,yearly,76000.0,82000.0,79000.0,dice.com
48,Data Architect,SUNRAY INFORMATICS,"SQL, ETL, NoSQL, Oracle, Data Architect, Master Data Management, Data Management, Tableau, Power BI, Azure, Azure SQL, Data Mining, Data Warehouses, Data Visualization, Data Warehouse, Data Pipelines",,,4/5/2023,"Contract: Corp-To-Corp, 12 Month(s)",Depends on Experience,,,,,dice.com
51,Data Scientist,"Engage Partners, Inc.",AI,New York,NY,3/27/2023,Full Time,Depends on Experience,,,,,dice.com
52,Data Scientist,Darwin Recruitment,Data Engineering,Chicago,IL,4/15/2023,Full Time,$100000.00 - $120000.00 per annum,yearly,100000.0,120000.0,110000.0,dice.com
53,Data Scientist,ABN TECH CORP,"Python, ML, Arima, Sarima",San Francisco,CA,4/14/2023,"Contract: Corp-To-Corp, W2, Independent, 12 Month(s)",$60 - $70,yearly,60000.0,70000.0,65000.0,dice.com
54,Data Scientist,"Technology Solutions Provider, Inc.","Data Science, Python",,,4/13/2023,Full Time,Depends on Experience,,,,,dice.com
58,Data Scientist,Denken Solutions,"Classical ML, Statistics Structured, Performance Metrics, Data Pre-Processing, Neural or NLP, AB Testing",,WI,4/14/2023,"Contract: W2, Corp-To-Corp",USD Depends on Experience,,,,,dice.com
60,Data Scientist,Amtex System Inc.,"Python, Java, AWS, GCP, C/C++, Data, Perl, BQ, Scientist, Vertex AI",San Jose,CA,4/13/2023,"Contract: Corp-To-Corp, 6 month(s)+",,,,,,dice.com
62,Data Scientist,"Zachary Piper Solutions, LLC",,McLean,VA,4/15/2023,Full Time,,,,,,dice.com
65,Data Scientist,Eliassen Group,,Charlotte,NC,4/13/2023,Contract: W2,,,,,,dice.com
69,Data Scientist,Yash Solutions LLC,"Data Scientist, ML, Python, AWS, Sagemaker, Athena, Glue, SQL",Greenville,SC,2/28/2023,Contract: W2,Depends on Experience,,,,,dice.com
70,Data Scientist,Kforce Technology Staffing,,Cincinnati,OH,4/13/2023,"Contract: W2, Temp",$47 - $51 hourly,hourly,47.0,51.0,49.0,dice.com
71,Data Scientist,IT Concepts Inc,"Statistical Analysis, ML, ML Model, Natural Language Processing, NLP, SQL, Advanced Queries, Python, SAS, R Program, Enterprise Data, Data Manipulation, Data Visualization, Data Analytics, Tableau",Woodlawn,MD,3/2/2023,Full Time,"$100,000 - $140,000",yearly,100000.0,140000.0,120000.0,dice.com
72,Data Scientist,Kforce Technology Staffing,,Redmond,WA,4/11/2023,"Contract: W2, Temp",$55 - $70 hourly,hourly,55.0,70.0,62.5,dice.com
73,Data Scientist,Peterson Technology Partners,Data Mining,,,3/31/2023,"Contract: Corp-To-Corp, W2, Independent, 12 Month(s)",Depends on Experience,,,,,dice.com
77,Data Scientist,Indotronix International Corp,"Analytics, Python, SQL",Portland,OR,4/4/2023,"Contract: W2, 6 Month(s)",$100 - $110,yearly,100000.0,110000.0,105000.0,dice.com
78,Data Scientist,CMCI,"Data Scientist, Business Objects, Cluster Analysis",,,3/6/2023,Full Time,Depends on Experience,,,,,dice.com
79,Data Scientist,Apex Systems,,Richmond,VA,4/6/2023,Full Time,,,,,,dice.com
81,Data Scientist,Motion Recruitment,,Los Angeles,CA,4/7/2023,Full Time,,,,,,dice.com
86,Data Scientist,Xcelo Group Inc,,Dallas,TX,4/4/2023,"Full Time, Part Time, Contract: W2, Independent, Corp-To-Corp",,,,,,dice.com
88,Data Scientist,Robert Half,"Python, Computer, SQL, Mathematical",Chicago,IL,4/14/2023,Full Time,$100000.00 to $125000.00 yearly,yearly,100000.0,125000.0,112500.0,dice.com
89,Data Scientist,Dew Software,"Data Scientist, ML, Communication Skills, Data Architecture, Problem - Solving Skills, Python, Data Engineering",,,2/14/2023,Contract: W2,Depends on Experience,,,,,dice.com
93,Data Scientist,"TSR Consulting Services, Inc.","Python, Matlab, Oracle, SQL, Consulting",Princeton,NJ,4/13/2023,"Contract: Corp-To-Corp, W2, Independent",,,,,,dice.com
97,Senior Data Scientist,Eliassen Group,,Herndon,VA,4/7/2023,Contract: W2,,,,,,dice.com
98,Data Scientist,Odesus,"AI, AI, Python, R, SQL, DBMS, SAS, Stata, SPSS, Sagemaker, Tensorflow, Kafka, Spark, Hadoop",Los Angeles,CA,4/10/2023,Full Time,"$120,000 - $175,000",yearly,120000.0,175000.0,147500.0,dice.com
100,Data Scientist,Jobot,,New York,NY,4/4/2023,Full Time,"$120,000 - $140,000 per year",yearly,120000.0,140000.0,130000.0,dice.com
102,Data Scientist,Robert Half,"SQL, Excel, Python",Cherry Hill,NJ,4/9/2023,Full Time,$100000.00 to $120000.00 yearly,yearly,100000.0,120000.0,110000.0,dice.com
103,Data Scientist,Motion Recruitment,,Houston ,TX,3/29/2023,Full Time,,,,,,dice.com
104,Data Scientist,Maddisoft,,Houston,TX,3/28/2023,"Full Time, Part Time, Contract: W2, Independent, Corp-To-Corp",,,,,,dice.com
106,Data Scientist,Apex Systems,,Indianapolis,IN,3/28/2023,Full Time,,,,,,dice.com
107,Data Scientist,ApTask,"Python, SQL, Bert, NLP",,,4/11/2023,"Contract: Corp-To-Corp, 12 Month(s)",$60 - $70,yearly,60000.0,70000.0,65000.0,dice.com
112,Data Scientist,E-Deft,,,,3/28/2023,"Contract: Corp-To-Corp, Independent, W2",,,,,,dice.com
114,Data Scientist,Novateur Technologies Inc.,"Statistical Modeling, Bayesian Model, Impact Model",Dallas,TX,4/4/2023,"Contract: W2, Independent, Corp-To-Corp, 6 Month(s)",Depends on Experience,,,,,dice.com
118,Data Scientist,Global Data Consultants,,Carlisle,PA,3/24/2023,Full Time,,,,,,dice.com
119,Senior Data Scientist,Aerospace Corporation,,Chantilly,VA,4/6/2023,Full Time,,,,,,dice.com
125,Data Scientist,TEKHiring,ML,Austin,TX,3/17/2023,"Contract: W2, Independent, 1 Year(s)",$40 - $50,yearly,40000.0,50000.0,45000.0,dice.com
126,Data Scientist,Robert Half,"Python, Mathematical",Johnston,IA,4/4/2023,"Contract: Independent, W2",,,,,,dice.com
136,Data Scientist,Veear,"NLP, SQL, Tableau",Sunnyvale,CA,3/24/2023,"Contract: W2, Corp-To-Corp, Independent, 12 Month(s)",$45 - $90,yearly,45000.0,90000.0,67500.0,dice.com
138,Data Scientist,Info Dinamica Inc,"ML, Image Filtering, Binary Morphology, Perspective / Affine Transformation, Edge Detection, Tracking, Regression, Unsupervised Learning, Pca",Santa Clara,CA,3/28/2023,"Contract: W2, Independent, Corp-To-Corp, 13 day((s))",,,,,,dice.com
139,Data Scientist,FirstParty,"Python, SQL",,,3/24/2023,"Contract: W2, 12 Month(s)",$70 - $90,yearly,70000.0,90000.0,80000.0,dice.com
141,Data Scientist,MAXAR Technologies,,Arlington,VA,3/13/2023,Full Time,,,,,,dice.com
144,Data Scientist,Apex Systems,,Lenexa,KS,3/14/2023,Full Time,,,,,,dice.com
147,Data Scientist,"SystemDomain, Inc.",,Hartford,CT,3/9/2023,"Full Time, Part Time, Contract: Corp-To-Corp, Independent, W2",,,,,,dice.com
154,Senior Data Scientist,Eliassen Group,,Charlotte,NC,3/16/2023,Contract: W2,,,,,,dice.com
157,Data Scientist,AccruePartners,"Python, Domino",,,3/16/2023,Contract: W2,,,,,,dice.com
159,Senior Data Scientist,Infinity Consulting Solutions,"Python, SQL, Application, Modeling, Web, Consulting, ICS, Accounting",Lisle,IL,3/23/2023,Full Time,,,,,,dice.com
163,Data Scientist,Motion Recruitment,,Arlington,VA,3/3/2023,Full Time,,,,,,dice.com
164,Data Scientist,Eliassen Group,,Stamford,CT,3/2/2023,Contract: W2,,,,,,dice.com
165,Data Scientist,EKIN Solutions Inc,"ML, Hadoop Ecosystem, Spark",,,3/16/2023,Full Time,"$100,000 - $140,000",yearly,100000.0,140000.0,120000.0,dice.com
166,Senior Data Scientist,Centraprise Corp,Python,,,3/2/2023,"Full Time, Contract: W2",$DOE,,,,,dice.com
171,Data Scientist,Robert Half,"It, Engineering, Computer, SQL, Python, Analysis, Networks",Houston,TX,3/10/2023,"Contract: Independent, W2",$61.75 to $71.50 hourly,hourly,61.75,71.5,66.63,dice.com
185,Senior Data Scientist,Infinity Consulting Solutions,"Analytical, Engineer, Computer, Research, Consulting, ICS, Accounting",Houston,TX,3/11/2023,Full Time,,,,,,dice.com
187,Data Scientist,Motion Recruitment,,San Diego ,CA,2/15/2023,Full Time,,,,,,dice.com
188,Data Scientist,Motion Recruitment,,Torrance ,CA,2/15/2023,Full Time,,,,,,dice.com
189,Data Scientist,Motion Recruitment,,Carlsbad,CA,2/15/2023,Full Time,,,,,,dice.com
190,Data Scientist,Motion Recruitment,,Irvine ,CA,2/14/2023,Full Time,,,,,,dice.com
191,Data Scientist,Motion Recruitment,,Los Angeles,CA,2/14/2023,Full Time,,,,,,dice.com
192,Data Scientist,SAIC,"Management, Systems, Python, NLP",Macdill AFB,FL,2/24/2023,Full Time,,,,,,dice.com
193,Data Scientist,AccruePartners,"It, Engineers, Engineering, Computer, Systems, Python, SQL",Fort Mill,SC,2/24/2023,Full Time,,,,,,dice.com
195,Data Scientist,BNY Mellon Corporation,"Analysis, Python, Java, Matlab, SQL, Foundation",Pittsburgh,PA,2/23/2023,Full Time,,,,,,dice.com
196,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation",Pittsburgh,PA,2/23/2023,Full Time,,,,,,dice.com
197,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation",Lake Mary,FL,2/23/2023,Full Time,,,,,,dice.com
200,Data Analyst,QED National,Data Analyst,New York,NY,4/12/2023,"Contract: W2, Corp-To-Corp, 6 month(s)",$45 - $53 per hour,hourly,45000.0,53000.0,49000.0,dice.com
201,Data Analyst,Randstad Technologies,Data Analyst,Schertz,TX,4/12/2023,Full Time,"USD70,000 - USD80,000",yearly,70000.0,80000.0,75000.0,dice.com
202,Data Analyst,Vaco Technology,Data Analyst,Kennesaw,GA,4/14/2023,Contract: W2,,,,,,dice.com
204,Data Analyst,Michael Page International,Data Analyst,Manhattan,NY,4/5/2023,Contract: W2,$55 - $62 per hour,hourly,55000.0,62000.0,58500.0,dice.com
205,Data Analyst,ITECCO Limited,Data Analyst,Austin,TX,4/5/2023,Full Time,$110000 - $140000 per annum,yearly,110000.0,140000.0,125000.0,dice.com
206,Data Analyst,Randstad Technologies,Data Analyst,Boston,MA,4/2/2023,Full Time,"USD100,000 - USD120,000",yearly,100000.0,120000.0,110000.0,dice.com
209,Data Analyst,Michael Page International,Data Analyst,Manhattan,NY,3/29/2023,Contract: W2,$55 - $62 per hour,hourly,55000.0,62000.0,58500.0,dice.com
215,Data Analyst,"New Resources Consulting, LLC","B2B, Data Analyst, Data Governance, Relational Databases, Cloud, Power BI, Snowflake",Dane County,WI,4/12/2023,Full Time,Depends on Experience,,,,,dice.com
216,Data Analyst,U.S. Tech Solutions Inc.,Data Analyst,,,3/24/2023,"Contract: W2, 4 Month(s)",Depends on Experience,,,,,dice.com
219,Data Analyst,INNOVIT USA INC,"SSIS, SQL Server, t-SQL, Data Analyst, Data Models",,,4/3/2023,"Contract: Corp-To-Corp, 6",$50 ,hourly,50.0,,50.0,dice.com
225,Data Analyst,R2 Info,Data Analyst,,,4/5/2023,Full Time,"$90,000 - $110,000",yearly,90000.0,110000.0,100000.0,dice.com
226,Data Analyst,Honu Services,Data Analyst,Silver Spring,MD,3/18/2023,Full Time,,,,,,dice.com
227,Data Analyst,Crescent Solutions Inc,"Data Analyst, SQL, Excel, Tableau, Power BI, Data Analysis, Data Mapping, Data Integration, Validate Data",Century City,CA,4/7/2023,Full Time,"$80,000+",,80000.0,,80000.0,dice.com
229,Data Analyst,"Tek Ryders, LLC","Data Analyst, Ms Word, Tableau, Excel, SQL, Power BI",,,4/10/2023,"Contract: W2, 1 Year(s)",Depends on Experience,,,,,dice.com
236,Data Analyst,Ascendion Inc.,"Data Analyst, SQL, Data Wrangling, Jira, Adobe, Tableau",San Antonio,TX,4/6/2023,"Contract: W2, Full-time",USD10.0000 - USD40.0000,hourly,10.0,40.0,25.0,dice.com
238,Data Analyst,"Softpath System, LLC.","Data Analyst, Tableau, SQL Server, SQL, SSIS, t-SQL, Data Mining",Richmond,VA,3/31/2023,"Contract: W2, Corp-To-Corp, 12 Month(s)",Depends on Experience,,,,,dice.com
240,Data Analyst,"Pyramid Consulting, Inc.","Data Analyst, Python, SQL, Tableau, AWS, Airflow, Shell Scripting",Richmond,VA,4/7/2023,"Contract: W2, 08 Month(s)",$40 - $45,yearly,40000.0,45000.0,42500.0,dice.com
242,Data Analyst,CSG,"Data Analyst, Excel, Ms Office, Ms SQL, SQL, Data Analysis, Data Collection, Data Conversion, Data Management, Data Governance, Quality Improvement, Project Management, Business Analysis, Communication Skills",,,4/6/2023,Full Time,Depends on Experience,,,,,dice.com
244,Data Analyst,Ascendion Inc.,"Remote, Data Analyst, SQL, Healthcare",Minneapolis,MN,3/21/2023,Full Time,USD50.0000 - USD60.0000,hourly,50.0,60.0,55.0,dice.com
245,Data Analyst,"IT Trailblazers, LLC","Access, Data Analyst, Information Systems, Power BI, Public Health, Regulatory Compliance, System Analysis",Boston,MA,4/7/2023,"Contract: W2, 6 Month(s)",$20 - $50,hourly,20000.0,50000.0,35000.0,dice.com
251,Data Scientist,"Engage Partners, Inc.",AI,New York,NY,3/27/2023,Full Time,Depends on Experience,,,,,dice.com
